Tcnt,Time,V1,V2,V3,V4,V5,V6,V7,V8,V1os,chg,disch,Ref-,Ref+,Iavg,Iinst,Vtot,V1_BG,Temp,SOH,Cylcnt,SOC,BalB,BalT,Addr,Tic,dTic
1, 06/26/2014 03:16:29 PM, 3.865, 3.782, 3.785, 3.787, 3.791, 3.797, 3.794, 3.807, 0.041, 0, 1, 2.604, 4.381, 0.000, -0.007, 30.408, 3.861, 25.150, 0, 0, 73, 0, 0, 0x50, 522, 1
2, 06/26/2014 03:16:30 PM, 3.865, 3.782, 3.788, 3.787, 3.791, 3.797, 3.794, 3.807, 0.041, 0, 1, 2.604, 4.381, 0.000, -0.007, 30.411, 3.861, 25.150, 0, 0, 73, 0, 0, 0x50, 523, 1
3, 06/26/2014 03:16:31 PM, 3.865, 3.782, 3.785, 3.787, 3.791, 3.797, 3.794, 3.800, 0.041, 0, 1, 2.604, 4.381, 0.000, -0.007, 30.401, 3.861, 25.150, 0, 0, 73, 0, 0, 0x50, 524, 1
4, 06/26/2014 03:16:32 PM, 3.865, 3.782, 3.788, 3.787, 3.791, 3.797, 3.794, 3.800, 0.041, 0, 1, 2.604, 4.381, 0.000, -0.007, 30.404, 3.861, 25.150, 0, 0, 73, 0, 0, 0x50, 525, 1
5, 06/26/2014 03:16:33 PM, 3.865, 3.782, 3.788, 3.787, 3.791, 3.797, 3.794, 3.807, 0.041, 0, 1, 2.604, 4.381, 0.000, -0.007, 30.411, 3.861, 25.150, 0, 0, 73, 0, 0, 0x50, 526, 1
6, 06/26/2014 03:16:33 PM, 3.865, 3.782, 3.785, 3.787, 3.791, 3.797, 3.794, 3.800, 0.041, 0, 1, 2.604, 4.381, 0.000, -0.007, 30.401, 3.861, 25.150, 0, 0, 73, 0, 0, 0x50, 527, 1
7, 06/26/2014 03:16:34 PM, 3.865, 3.782, 3.788, 3.787, 3.791, 3.797, 3.794, 3.800, 0.041, 0, 1, 2.604, 4.381, 0.000, -0.007, 30.404, 3.861, 25.150, 0, 0, 73, 0, 0, 0x50, 528, 1
8, 06/26/2014 03:16:35 PM, 3.865, 3.786, 3.787, 3.791, 3.795, 3.801, 3.798, 3.804, 0.037, 0, 1, 2.604, 4.381, 0.000, -0.007, 30.427, 3.861, 25.150, 0, 0, 73, 0, 0, 0x50, 529, 1
9, 06/26/2014 03:16:36 PM, 3.865, 3.782, 3.788, 3.787, 3.791, 3.797, 3.794, 3.800, 0.041, 0, 1, 2.604, 4.381, 0.000, -0.007, 30.404, 3.861, 25.150, 0, 0, 73, 0, 0, 0x50, 530, 1
10, 06/26/2014 03:16:37 PM, 3.865, 3.782, 3.788, 3.787, 3.791, 3.797, 3.794, 3.800, 0.041, 0, 1, 2.604, 4.381, 0.000, -0.007, 30.404, 3.861, 25.150, 0, 0, 73, 0, 0, 0x50, 531, 1
11, 06/26/2014 03:16:38 PM, 3.865, 3.782, 3.785, 3.787, 3.791, 3.797, 3.794, 3.800, 0.041, 0, 1, 2.604, 4.381, 0.000, -0.007, 30.401, 3.861, 25.150, 0, 0, 73, 0, 0, 0x50, 532, 1
12, 06/26/2014 03:16:39 PM, 3.865, 3.786, 3.789, 3.791, 3.795, 3.801, 3.798, 3.811, 0.037, 0, 1, 2.604, 4.381, 0.000, -0.007, 30.436, 3.861, 25.150, 0, 0, 73, 0, 0, 0x50, 533, 1
13, 06/26/2014 03:16:40 PM, 3.865, 3.782, 3.788, 3.786, 3.791, 3.797, 3.794, 3.807, 0.041, 0, 1, 2.604, 4.381, 0.000, -0.007, 30.41, 3.861, 25.150, 0, 0, 73, 0, 0, 0x50, 534, 1
14, 06/26/2014 03:16:41 PM, 3.865, 3.782, 3.788, 3.787, 3.791, 3.797, 3.794, 3.800, 0.041, 0, 1, 2.604, 4.381, 0.000, -0.007, 30.404, 3.861, 25.150, 0, 0, 73, 0, 0, 0x50, 535, 1
15, 06/26/2014 03:16:42 PM, 3.865, 3.782, 3.788, 3.787, 3.791, 3.797, 3.794, 3.800, 0.041, 0, 1, 2.604, 4.381, 0.000, -0.007, 30.404, 3.861, 25.150, 0, 0, 73, 0, 0, 0x50, 536, 1
16, 06/26/2014 03:16:43 PM, 3.865, 3.782, 3.788, 3.787, 3.791, 3.797, 3.794, 3.800, 0.041, 0, 1, 2.604, 4.381, 0.000, -0.007, 30.404, 3.861, 25.150, 0, 0, 73, 0, 0, 0x50, 537, 1
17, 06/26/2014 03:16:44 PM, 3.865, 3.782, 3.788, 3.787, 3.793, 3.797, 3.794, 3.807, 0.041, 0, 1, 2.604, 4.381, 0.000, -0.007, 30.413, 3.861, 25.150, 0, 0, 73, 0, 0, 0x50, 538, 1
18, 06/26/2014 03:16:45 PM, 3.865, 3.782, 3.788, 3.787, 3.791, 3.797, 3.794, 3.807, 0.041, 0, 1, 2.604, 4.381, 0.000, -0.007, 30.411, 3.861, 25.150, 0, 0, 73, 0, 0, 0x50, 539, 1
19, 06/26/2014 03:16:46 PM, 3.865, 3.782, 3.788, 3.787, 3.791, 3.797, 3.794, 3.800, 0.041, 0, 1, 2.604, 4.381, 0.000, -0.007, 30.404, 3.861, 25.150, 0, 0, 73, 0, 0, 0x50, 540, 1
20, 06/26/2014 03:16:47 PM, 3.865, 3.782, 3.788, 3.787, 3.791, 3.797, 3.794, 3.800, 0.041, 0, 1, 2.604, 4.381, 0.000, -0.007, 30.404, 3.861, 25.150, 0, 0, 73, 0, 0, 0x50, 541, 1
21, 06/26/2014 03:16:48 PM, 3.865, 3.782, 3.785, 3.787, 3.791, 3.797, 3.794, 3.807, 0.041, 0, 1, 2.604, 4.381, 0.000, -0.007, 30.408, 3.861, 25.150, 0, 0, 73, 0, 0, 0x50, 542, 1
