Tcnt,Time,V1,V2,V3,V4,V5,V6,V7,V8,V1os,chg,disch,Ref-,Ref+,Iavg,Iinst,Vtot,V1_BG,Temp,SOH,Cylcnt,SOC,BalB,BalT,Addr,Tic,dTic
1, 06/25/2014 05:40:47 PM, 4.213, 4.219, 4.227, 4.226, 4.053, 4.054, 4.050, 4.047, 0.076, 0, 1, 2.602, 4.393, -0.019, -0.018, 33.089, 4.210, 24.250, 0, 0, 100, 0, 0, 0x50, 8529, 1
2, 06/25/2014 05:40:48 PM, 4.213, 4.217, 4.225, 4.224, 4.051, 4.050, 4.048, 4.045, 0.078, 0, 1, 2.602, 4.393, -0.020, -0.018, 33.073, 4.210, 24.150, 0, 0, 100, 0, 0, 0x50, 8530, 1
3, 06/25/2014 05:40:49 PM, 4.213, 4.217, 4.225, 4.224, 4.051, 4.050, 4.048, 4.045, 0.078, 0, 1, 2.602, 4.393, -0.020, -0.018, 33.073, 4.210, 24.150, 0, 0, 100, 0, 0, 0x50, 8531, 1
4, 06/25/2014 05:40:50 PM, 4.213, 4.217, 4.225, 4.224, 4.051, 4.050, 4.048, 4.045, 0.078, 0, 1, 2.602, 4.393, -0.020, -0.018, 33.073, 4.210, 24.250, 0, 0, 100, 0, 0, 0x50, 8532, 1
5, 06/25/2014 05:40:51 PM, 4.213, 4.219, 4.227, 4.226, 4.053, 4.052, 4.050, 4.047, 0.076, 0, 1, 2.602, 4.393, -0.019, -0.018, 33.087, 4.210, 24.250, 0, 0, 100, 0, 0, 0x50, 8533, 1
6, 06/25/2014 05:40:52 PM, 4.213, 4.217, 4.225, 4.224, 4.051, 4.050, 4.048, 4.045, 0.078, 0, 1, 2.602, 4.393, -0.020, -0.018, 33.073, 4.210, 24.150, 0, 0, 100, 0, 0, 0x50, 8534, 1
7, 06/25/2014 05:40:53 PM, 4.213, 4.219, 4.227, 4.226, 4.053, 4.052, 4.050, 4.047, 0.076, 0, 1, 2.602, 4.393, -0.020, -0.018, 33.087, 4.210, 24.250, 0, 0, 100, 0, 0, 0x50, 8535, 1
8, 06/25/2014 05:40:54 PM, 4.213, 4.219, 4.227, 4.226, 4.053, 4.052, 4.050, 4.047, 0.076, 0, 1, 2.602, 4.393, -0.020, -0.018, 33.087, 4.210, 24.150, 0, 0, 100, 0, 0, 0x50, 8536, 1
9, 06/25/2014 05:40:55 PM, 4.213, 4.219, 4.227, 4.226, 4.053, 4.052, 4.050, 4.047, 0.076, 0, 1, 2.602, 4.393, -0.020, -0.018, 33.087, 4.210, 24.150, 0, 0, 100, 0, 0, 0x50, 8537, 1
10, 06/25/2014 05:40:56 PM, 4.213, 4.219, 4.227, 4.226, 4.053, 4.056, 4.050, 4.047, 0.076, 0, 1, 2.602, 4.393, -0.020, -0.018, 33.091, 4.210, 24.150, 0, 0, 100, 0, 0, 0x50, 8538, 1
11, 06/25/2014 05:40:57 PM, 4.213, 4.219, 4.227, 4.226, 4.053, 4.056, 4.050, 4.047, 0.076, 0, 1, 2.602, 4.393, -0.020, -0.018, 33.091, 4.210, 24.150, 0, 0, 100, 0, 0, 0x50, 8539, 1
12, 06/25/2014 05:40:58 PM, 4.213, 4.217, 4.225, 4.224, 4.051, 4.052, 4.048, 4.045, 0.078, 0, 1, 2.602, 4.393, -0.020, -0.018, 33.075, 4.210, 24.150, 0, 0, 100, 0, 0, 0x50, 8540, 1
13, 06/25/2014 05:40:59 PM, 4.213, 4.217, 4.225, 4.224, 4.051, 4.050, 4.048, 4.045, 0.078, 0, 1, 2.602, 4.393, -0.020, -0.018, 33.073, 4.210, 24.150, 0, 0, 100, 0, 0, 0x50, 8541, 1
14, 06/25/2014 05:41:00 PM, 4.213, 4.219, 4.227, 4.226, 4.053, 4.051, 4.050, 4.047, 0.076, 0, 1, 2.602, 4.393, -0.020, -0.018, 33.086, 4.210, 24.250, 0, 0, 100, 0, 0, 0x50, 8542, 1
15, 06/25/2014 05:41:01 PM, 4.213, 4.219, 4.227, 4.226, 4.053, 4.052, 4.050, 4.047, 0.076, 0, 1, 2.602, 4.393, -0.020, -0.018, 33.087, 4.210, 24.150, 0, 0, 100, 0, 0, 0x50, 8543, 1
16, 06/25/2014 05:41:02 PM, 4.213, 4.217, 4.225, 4.224, 4.051, 4.050, 4.048, 4.045, 0.078, 0, 1, 2.602, 4.393, -0.020, -0.018, 33.073, 4.209, 24.250, 0, 0, 100, 0, 0, 0x50, 8544, 1
17, 06/25/2014 05:41:03 PM, 4.212, 4.216, 4.224, 4.223, 4.050, 4.049, 4.047, 4.044, 0.079, 0, 1, 2.602, 4.393, -0.020, -0.018, 33.065, 4.210, 24.250, 0, 0, 100, 0, 0, 0x50, 8545, 1
18, 06/25/2014 05:41:04 PM, 4.213, 4.219, 4.227, 4.226, 4.053, 4.052, 4.050, 4.047, 0.076, 0, 1, 2.602, 4.393, -0.019, -0.018, 33.087, 4.210, 24.150, 0, 0, 100, 0, 0, 0x50, 8546, 1
19, 06/25/2014 05:41:05 PM, 4.213, 4.219, 4.227, 4.226, 4.053, 4.052, 4.050, 4.047, 0.076, 0, 1, 2.602, 4.393, -0.020, -0.018, 33.087, 4.210, 24.150, 0, 0, 100, 0, 0, 0x50, 8547, 1
20, 06/25/2014 05:41:06 PM, 4.213, 4.219, 4.227, 4.226, 4.053, 4.052, 4.050, 4.047, 0.076, 0, 1, 2.602, 4.393, -0.020, -0.018, 33.087, 4.210, 24.250, 0, 0, 100, 0, 0, 0x50, 8548, 1
