Tcnt,Time,V1,V2,V3,V4,V5,V6,V7,V8,V1os,chg,disch,Ref-,Ref+,Iavg,Iinst,Vtot,V1_BG,Temp,SOH,Cylcnt,SOC,BalB,BalT,Addr,Tic,dTic
1, 07/02/2014 10:44:14 AM, 3.381, 3.222, 3.294, 3.444, 3.395, 3.402, 3.359, 3.434, -0.051, 0, 3, 3.033, 4.429, 0.000, 0.002, 26.931, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089658, 1
2, 07/02/2014 10:44:15 AM, 3.381, 3.223, 3.295, 3.447, 3.396, 3.402, 3.362, 3.435, -0.052, 0, 3, 3.033, 4.429, 0.000, 0.002, 26.941, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089659, 1
3, 07/02/2014 10:44:16 AM, 3.381, 3.219, 3.291, 3.441, 3.392, 3.400, 3.357, 3.431, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.002, 26.912, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089660, 1
4, 07/02/2014 10:44:17 AM, 3.381, 3.219, 3.291, 3.440, 3.392, 3.399, 3.358, 3.431, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.002, 26.911, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089661, 1
5, 07/02/2014 10:44:18 AM, 3.381, 3.219, 3.291, 3.443, 3.392, 3.398, 3.357, 3.431, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.002, 26.912, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089662, 1
6, 07/02/2014 10:44:19 AM, 3.381, 3.219, 3.292, 3.443, 3.392, 3.398, 3.357, 3.431, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.002, 26.913, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089663, 1
7, 07/02/2014 10:44:20 AM, 3.381, 3.222, 3.294, 3.446, 3.395, 3.402, 3.361, 3.434, -0.051, 0, 3, 3.033, 4.429, 0.000, 0.002, 26.935, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089664, 1
8, 07/02/2014 10:44:21 AM, 3.381, 3.220, 3.294, 3.446, 3.395, 3.402, 3.360, 3.434, -0.051, 0, 3, 3.033, 4.429, 0.000, 0.002, 26.932, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089665, 1
9, 07/02/2014 10:44:22 AM, 3.381, 3.222, 3.294, 3.443, 3.395, 3.401, 3.361, 3.434, -0.051, 0, 3, 3.033, 4.429, 0.000, 0.002, 26.931, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089666, 1
10, 07/02/2014 10:44:23 AM, 3.381, 3.219, 3.291, 3.443, 3.392, 3.398, 3.358, 3.431, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.002, 26.913, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089667, 1
11, 07/02/2014 10:44:24 AM, 3.381, 3.219, 3.291, 3.440, 3.392, 3.398, 3.358, 3.431, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.002, 26.91, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089668, 1
12, 07/02/2014 10:44:25 AM, 3.381, 3.219, 3.291, 3.443, 3.392, 3.400, 3.358, 3.431, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.002, 26.915, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089669, 1
13, 07/02/2014 10:44:26 AM, 3.381, 3.222, 3.294, 3.443, 3.395, 3.401, 3.361, 3.434, -0.051, 0, 3, 3.033, 4.429, 0.000, 0.002, 26.931, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089670, 1
14, 07/02/2014 10:44:27 AM, 3.381, 3.219, 3.291, 3.443, 3.392, 3.400, 3.357, 3.431, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.002, 26.914, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089671, 1
15, 07/02/2014 10:44:28 AM, 3.381, 3.219, 3.291, 3.440, 3.392, 3.398, 3.357, 3.431, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.002, 26.909, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089672, 1
16, 07/02/2014 10:44:29 AM, 3.381, 3.219, 3.291, 3.440, 3.392, 3.400, 3.358, 3.431, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.002, 26.912, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089673, 1
17, 07/02/2014 10:44:30 AM, 3.381, 3.219, 3.291, 3.443, 3.392, 3.398, 3.357, 3.431, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.002, 26.912, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089674, 1
18, 07/02/2014 10:44:31 AM, 3.381, 3.219, 3.291, 3.440, 3.392, 3.398, 3.356, 3.431, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.000, 26.908, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089675, 1
19, 07/02/2014 10:44:32 AM, 3.381, 3.222, 3.294, 3.443, 3.395, 3.402, 3.361, 3.434, -0.051, 0, 3, 3.033, 4.429, 0.000, 0.000, 26.932, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089676, 1
20, 07/02/2014 10:44:33 AM, 3.381, 3.220, 3.294, 3.446, 3.395, 3.401, 3.361, 3.434, -0.051, 0, 3, 3.033, 4.429, 0.000, 0.000, 26.932, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089677, 1
21, 07/02/2014 10:44:34 AM, 3.381, 3.219, 3.289, 3.440, 3.392, 3.398, 3.356, 3.431, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.000, 26.906, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089678, 1
22, 07/02/2014 10:44:35 AM, 3.381, 3.224, 3.296, 3.445, 3.397, 3.403, 3.363, 3.436, -0.053, 0, 3, 3.033, 4.429, 0.000, 0.000, 26.945, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089679, 1
23, 07/02/2014 10:44:36 AM, 3.381, 3.219, 3.291, 3.440, 3.392, 3.398, 3.358, 3.431, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.000, 26.91, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089680, 1
24, 07/02/2014 10:44:37 AM, 3.381, 3.222, 3.294, 3.446, 3.395, 3.401, 3.360, 3.434, -0.051, 0, 3, 3.033, 4.429, 0.000, 0.000, 26.933, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089681, 1
25, 07/02/2014 10:44:38 AM, 3.381, 3.222, 3.294, 3.446, 3.395, 3.401, 3.361, 3.434, -0.051, 0, 3, 3.033, 4.429, 0.000, 0.000, 26.934, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089682, 1
26, 07/02/2014 10:44:39 AM, 3.381, 3.219, 3.291, 3.440, 3.392, 3.399, 3.356, 3.431, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.000, 26.909, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089683, 1
27, 07/02/2014 10:44:40 AM, 3.381, 3.219, 3.291, 3.440, 3.392, 3.400, 3.358, 3.431, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.000, 26.912, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089684, 1
28, 07/02/2014 10:44:41 AM, 3.381, 3.219, 3.291, 3.440, 3.392, 3.398, 3.358, 3.431, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.000, 26.91, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089685, 1
29, 07/02/2014 10:44:42 AM, 3.381, 3.219, 3.291, 3.440, 3.392, 3.398, 3.358, 3.431, -0.051, 0, 3, 3.033, 4.429, 0.000, 0.000, 26.91, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089686, 1
30, 07/02/2014 10:44:43 AM, 3.381, 3.222, 3.294, 3.446, 3.395, 3.401, 3.361, 3.434, -0.051, 0, 3, 3.033, 4.429, 0.000, 0.000, 26.934, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089687, 1
31, 07/02/2014 10:44:44 AM, 3.381, 3.222, 3.295, 3.443, 3.395, 3.402, 3.361, 3.434, -0.051, 0, 3, 3.033, 4.429, 0.000, 0.000, 26.933, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089688, 1
32, 07/02/2014 10:44:45 AM, 3.381, 3.219, 3.291, 3.443, 3.392, 3.398, 3.357, 3.433, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.000, 26.914, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089689, 1
33, 07/02/2014 10:44:46 AM, 3.381, 3.222, 3.294, 3.443, 3.395, 3.401, 3.360, 3.434, -0.051, 0, 3, 3.033, 4.429, 0.000, 0.000, 26.93, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089690, 1
34, 07/02/2014 10:44:47 AM, 3.381, 3.222, 3.294, 3.446, 3.395, 3.401, 3.361, 3.434, -0.051, 0, 3, 3.033, 4.429, 0.000, 0.000, 26.934, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089691, 1
35, 07/02/2014 10:44:48 AM, 3.381, 3.219, 3.291, 3.440, 3.392, 3.399, 3.358, 3.431, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.000, 26.911, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089692, 1
36, 07/02/2014 10:44:49 AM, 3.381, 3.219, 3.289, 3.443, 3.392, 3.400, 3.356, 3.431, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.000, 26.911, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089693, 1
37, 07/02/2014 10:44:50 AM, 3.381, 3.220, 3.294, 3.446, 3.395, 3.402, 3.360, 3.438, -0.051, 0, 3, 3.033, 4.429, 0.000, 0.000, 26.936, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089694, 1
38, 07/02/2014 10:44:51 AM, 3.381, 3.222, 3.294, 3.443, 3.395, 3.401, 3.359, 3.434, -0.051, 0, 3, 3.033, 4.429, 0.000, 0.001, 26.929, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089695, 1
39, 07/02/2014 10:44:52 AM, 3.381, 3.219, 3.291, 3.443, 3.392, 3.398, 3.358, 3.431, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.001, 26.913, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089696, 1
40, 07/02/2014 10:44:53 AM, 3.381, 3.218, 3.291, 3.443, 3.392, 3.400, 3.357, 3.435, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.001, 26.917, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089697, 1
41, 07/02/2014 10:44:54 AM, 3.381, 3.219, 3.291, 3.440, 3.392, 3.398, 3.358, 3.431, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.001, 26.91, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089698, 1
42, 07/02/2014 10:44:55 AM, 3.381, 3.217, 3.291, 3.440, 3.392, 3.398, 3.358, 3.435, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.001, 26.912, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089699, 1
43, 07/02/2014 10:44:56 AM, 3.381, 3.219, 3.289, 3.441, 3.392, 3.399, 3.358, 3.431, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.001, 26.91, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089699, 1
44, 07/02/2014 10:44:57 AM, 3.381, 3.219, 3.291, 3.441, 3.392, 3.400, 3.357, 3.431, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.001, 26.912, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089700, 1
45, 07/02/2014 10:44:58 AM, 3.381, 3.222, 3.294, 3.446, 3.395, 3.401, 3.361, 3.434, -0.051, 0, 3, 3.033, 4.429, 0.000, 0.001, 26.934, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089701, 1
46, 07/02/2014 10:44:59 AM, 3.381, 3.222, 3.294, 3.446, 3.395, 3.402, 3.360, 3.434, -0.051, 0, 3, 3.033, 4.429, 0.000, 0.001, 26.934, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089702, 1
47, 07/02/2014 10:45:00 AM, 3.381, 3.219, 3.289, 3.440, 3.392, 3.398, 3.357, 3.431, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.001, 26.907, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089703, 1
48, 07/02/2014 10:45:01 AM, 3.381, 3.219, 3.289, 3.443, 3.392, 3.400, 3.357, 3.431, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.001, 26.912, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089704, 1
49, 07/02/2014 10:45:02 AM, 3.381, 3.223, 3.295, 3.444, 3.396, 3.403, 3.362, 3.435, -0.052, 0, 3, 3.033, 4.429, 0.000, 0.001, 26.939, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089705, 1
50, 07/02/2014 10:45:03 AM, 3.381, 3.218, 3.289, 3.440, 3.392, 3.398, 3.356, 3.435, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.001, 26.909, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089706, 1
51, 07/02/2014 10:45:04 AM, 3.381, 3.222, 3.294, 3.443, 3.395, 3.402, 3.360, 3.434, -0.051, 0, 3, 3.033, 4.429, 0.000, 0.001, 26.931, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089707, 1
52, 07/02/2014 10:45:05 AM, 3.381, 3.217, 3.291, 3.440, 3.392, 3.399, 3.357, 3.433, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.001, 26.91, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089708, 1
53, 07/02/2014 10:45:06 AM, 3.381, 3.219, 3.291, 3.443, 3.392, 3.398, 3.358, 3.431, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.001, 26.913, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089709, 1
54, 07/02/2014 10:45:07 AM, 3.381, 3.219, 3.291, 3.440, 3.392, 3.398, 3.356, 3.431, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.001, 26.908, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089710, 1
55, 07/02/2014 10:45:08 AM, 3.381, 3.219, 3.291, 3.440, 3.392, 3.398, 3.356, 3.431, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.001, 26.908, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089711, 1
56, 07/02/2014 10:45:09 AM, 3.381, 3.222, 3.294, 3.446, 3.395, 3.401, 3.360, 3.434, -0.051, 0, 3, 3.033, 4.429, 0.000, 0.001, 26.933, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089712, 1
57, 07/02/2014 10:45:10 AM, 3.381, 3.219, 3.291, 3.440, 3.392, 3.400, 3.357, 3.431, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.001, 26.911, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089713, 1
58, 07/02/2014 10:45:11 AM, 3.381, 3.219, 3.291, 3.440, 3.392, 3.398, 3.357, 3.431, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.001, 26.909, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089714, 1
59, 07/02/2014 10:45:12 AM, 3.381, 3.221, 3.292, 3.443, 3.395, 3.402, 3.359, 3.434, -0.051, 0, 3, 3.033, 4.429, 0.000, 0.001, 26.927, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089715, 1
60, 07/02/2014 10:45:13 AM, 3.381, 3.222, 3.296, 3.445, 3.396, 3.406, 3.361, 3.435, -0.048, 0, 3, 3.033, 4.429, 0.000, 0.001, 26.942, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089716, 1
61, 07/02/2014 10:45:14 AM, 3.381, 3.225, 3.298, 3.429, 3.381, 3.386, 3.347, 3.420, 0.154, 1, 3, 3.033, 4.429, 0.000, 0.001, 26.867, 3.375, 24.550, 0, 0, 2, 0, 0, 0x50, 1089717, 1
62, 07/02/2014 10:45:15 AM, 3.381, 3.227, 3.297, 3.430, 3.378, 3.385, 3.343, 3.418, 0.161, 1, 3, 3.033, 4.429, 7.764, 7.748, 26.859, 3.368, 25.350, 0, 0, 2, 0, 0, 0x50, 1089718, 1
63, 07/02/2014 10:45:16 AM, 3.374, 3.218, 3.292, 3.424, 3.370, 3.379, 3.337, 3.409, 0.170, 1, 3, 3.033, 4.429, 7.791, 7.786, 26.803, 3.375, 25.350, 0, 0, 2, 0, 0, 0x50, 1089719, 1
64, 07/02/2014 10:45:17 AM, 3.381, 3.225, 3.293, 3.424, 3.374, 3.381, 3.342, 3.413, 0.170, 1, 3, 3.033, 4.429, 7.799, 7.796, 26.833, 3.377, 25.350, 0, 0, 2, 0, 0, 0x50, 1089720, 1
65, 07/02/2014 10:45:18 AM, 3.383, 3.232, 3.301, 3.427, 3.378, 3.386, 3.347, 3.415, 0.168, 1, 3, 3.033, 4.429, 7.804, 7.800, 26.869, 3.379, 25.350, 0, 0, 3, 0, 0, 0x50, 1089721, 1
66, 07/02/2014 10:45:19 AM, 3.385, 3.234, 3.301, 3.433, 3.382, 3.388, 3.346, 3.415, 0.169, 1, 3, 3.033, 4.429, 7.807, 7.803, 26.884, 3.382, 25.350, 0, 0, 3, 0, 0, 0x50, 1089722, 1
67, 07/02/2014 10:45:20 AM, 3.388, 3.232, 3.300, 3.428, 3.377, 3.384, 3.344, 3.413, 0.174, 1, 3, 3.033, 4.429, 7.809, 7.805, 26.866, 3.383, 25.350, 0, 0, 3, 0, 0, 0x50, 1089723, 1
68, 07/02/2014 10:45:21 AM, 3.389, 3.238, 3.307, 3.429, 3.381, 3.388, 3.347, 3.417, 0.173, 1, 3, 3.033, 4.429, 7.811, 7.807, 26.896, 3.385, 25.350, 0, 0, 3, 0, 0, 0x50, 1089724, 1
